meeting_start_date,meeting_end_date,press_release_date,scheduled_meeting,statement_released,release_time_fed,release_time_lm,release_time_gss,release_time_bloomberg,sep,press_conference,cancelled,date_cancelled,JMW_sample
2/3/1994,2/4/1994,2/4/1994,1,1,,1105,1105,,0,0,,,1
2/28/1994,2/28/1994,2/28/1994,0,0,,,,,0,0,,,0
3/22/1994,3/22/1994,3/22/1994,1,1,,1420,1420,,0,0,,,1
3/24/1994,3/24/1994,3/24/1994,0,0,,,,,0,0,,,0
4/18/1994,4/18/1994,4/18/1994,0,1,,,1006,,0,0,,,1
5/17/1994,5/17/1994,5/17/1994,1,1,,1426,1426,,0,0,,,1
7/5/1994,7/6/1994,7/6/1994,1,0,,1418,1418,,0,0,,,1
7/20/1994,7/20/1994,7/20/1994,0,0,,,,,0,0,,,0
8/16/1994,8/16/1994,8/16/1994,1,1,,1317,1318,,0,0,,,1
9/27/1994,9/27/1994,9/27/1994,1,0,,1418,1418,,0,0,,,1
11/15/1994,11/15/1994,11/15/1994,1,1,,1420,1420,,0,0,,,1
12/20/1994,12/20/1994,12/20/1994,1,0,,1417,1417,,0,0,,,1
12/30/1994,12/30/1994,12/30/1994,0,0,,,,,0,0,,,0
1/13/1995,1/13/1995,1/13/1995,0,0,,,,,0,0,,,0
1/31/1995,2/1/1995,2/1/1995,1,1,,1414,1415,,0,0,,,1
3/10/1995,3/10/1995,3/10/1995,0,0,,,,,0,0,,,0
3/28/1995,3/28/1995,3/28/1995,1,0,,1413,1415,,0,0,,,1
4/28/1995,4/28/1995,4/28/1995,0,0,,,,,0,0,,,0
5/23/1995,5/23/1995,5/23/1995,1,0,,1413,1415,,0,0,,,1
7/5/1995,7/6/1995,7/6/1995,1,1,,1415,1415,,0,0,,,1
8/22/1995,8/22/1995,8/22/1995,1,0,,1413,1415,,0,0,,,1
9/26/1995,9/26/1995,9/26/1995,1,0,,1414,1415,,0,0,,,1
11/15/1995,11/15/1995,11/15/1995,1,0,,1416,1415,,0,0,,,1
12/19/1995,12/19/1995,12/19/1995,1,1,,1415,1415,,0,0,,,1
1/30/1996,1/31/1996,1/31/1996,1,1,,1416,1415,,0,0,,,1
3/26/1996,3/26/1996,3/26/1996,1,0,,1139,1139,,0,0,,,1
5/21/1996,5/21/1996,5/21/1996,1,0,,1416,1415,,0,0,,,1
7/2/1996,7/3/1996,7/3/1996,1,0,,1414,1415,,0,0,,,1
8/20/1996,8/20/1996,8/20/1996,1,0,,1417,1415,,0,0,,,1
9/24/1996,9/24/1996,9/24/1996,1,0,,1414,1415,,0,0,,,1
11/13/1996,11/13/1996,11/13/1996,1,0,,1417,1415,,0,0,,,1
12/17/1996,12/17/1996,12/17/1996,1,0,,1416,1415,,0,0,,,1
2/4/1997,2/5/1997,2/5/1997,1,0,,1413,1415,,0,0,,,1
